character,top sccs
乴,乴乺娎硩乮乽乯朰乫乼
乵,乵乹軋轧乱乳礼扎靴钆
乶,乶乽乬覂婁乭薧壱薹夣
乷,乷乧硰乲娑毟挲乮乻劣
乸,乸怛岨崓尳嗮嵎忚怚嶇
乹,乹軋乱耴轧乩乵亄钆鞃
乺,乺乴乮乬乶乯磛乼乫乽
乻,乻乷篸旕参參朰毶蔘嵾
乼,乼乭蒦乶乺乲覂羐窆蓌
乽,乽乶鬄翥耄乭葚鬘鬉乬
乾,乾亁齕訖虼龁屹軫釳畃
乿,乿亂糺乳孔礼乣扎豼札
亀,亀篳辠皇筆龟篁罼籌簞
亁,亁乾訖齕鴕翰鳦転龁彰
亂,亂乿齓乳乱亄孔扎齜礼
亃,亃粼亂丸犼豼刋猁齓乿
亄,亄乱乹軋副勣齓劃乩剈
亅,亅丨刂亻忄丄丁小丅讠
了,了孒丁孑孓丫丅下龴子
亇,亇尔尓饣乍午个丅丁犷
予,予子矛孑于亍千干芧手
争,争筝箏爭弚箒竿簫筆蟹
亊,亊爭鼊雽龗韦孚芋幸芓
事,事譶辜享舙蓽亭薑葟羣
二,二匚工匸三宀室口掌仁
亍,亍艼于子宁示干手予龵
于,于干手子千亍宁十甼卡
亏,亏亐号膏靑暠冐青骨咠
亐,亐亏骨青写号靑宆膏詈
云,云忈冡龵曑褁罖奏悫去
互,互亙叵宜亘耳垕區冝亶
亓,亓亣元冗凥宂妧歽巟妡
五,五電王覃亜亞壺雪彐丑
井,井丼茾开升幷廾并幵卅
亖,亖暈曇量鼌曩三晕鞷曅
亗,亗岦罣訔琞叟豐龷龶茥
亘,亘亶巨重宣直童蒖葺萱
亙,亙互宜冝亘亶宣直旦叵
亚,亚业巫工並卫哑叿丄玊
些,些呰坒啙姕眥鈭蟚毞皆
亜,亜亞王垔玉堊荲垂畱昛
亝,亝垒叄奎孳諬烾蜜挲巠
亞,亞亜垔玉王荲更噩堊昛
亟,亟瓪焏菣蔮题颬冣恧匧
亠,亠一龶龷十千屵冖辷会
亡,亡亱匸虐苉穜暄喧橦暲
亢,亢宂巟亣芁売苀方克冗
亣,亣宂亢亓方朮九赤力巟
交,交亥厺衣冭玄芆衮氼枩
亥,亥奒玄交荄奓袠豢家蓘
亦,亦办刅赤小朩丌妳冘茒
产,产戸龶严芹屵宸戶宍官
亨,亨享亭譶事舙禀烹辜孠
亩,亩宙畗毐盙甫亯苗言壷
亪,亪栾杳杏鸾玄蛮孪李奕
享,享亨亭譶辜事孠孛嚞舙
京,京亰宗葲東束哀克菒衰
亭,亭享亨葶譶舙事熹菷靐
亮,亮克売芫完宺旯兒見莞
亯,亯畗吂言富苢菖宫嘗官
亰,亰京宗葲哀東束克袌菒
亱,亱襢疸徝有禫疽禃襩禕
亲,亲兼祟辛桒莱蒹棐芉杗
亳,亳毫譶辜嚞臺蕚辠鞷羣
亴,亴囊橐曩蠹彙彚曇槖毫
亵,亵褻袤褢褎衺裚衷襃裦
亶,亶亘巨萺宣萱宫冝直盲
亷,亷廉薕蒝菮蔯霖粛萰簾
亸,亸嚲詳諽訷韚諀珜詊訲
亹,亹曾瞢軎寷卋亯曹蘴兽
人,人入乆火犬太仌大氷灭
亻,亻亅丨刂氵牜忄丫乢吪
亼,亼亾兦厶人癶入罖丕厺
亽,亽仒谷令今仌仝仑仺癶
亾,亾兦亼厶入込人匹乆唑
亿,亿忆化佖钇伓伾仍仏仫
什,什仆仩伂仕仠伴针俳仦
仁,仁伫仨匚匸儃儐儓仜僖
仂,仂伪忇倇优仞伤伆彻例
仃,仃忊仜仠伽伓仔仆付仞
仄,仄庂厌庲疢灰戍唊入灭
仅,仅仪伩仗忟伋扠汊伎钗
仆,仆什仦钋朴仩扑讣补圤
仇,仇饥仉伔优伉扏仈仍伽
仈,仈仉柧孤朳伙狐扒弧枛
仉,仉仈忛伔仇仍侧饥矶伣
今,今令仒仝釡仺亽僉谷合
介,介夼个仚尣尒众灮渝屳
仌,仌炎氼汆枩氽人災灸亽
仍,仍仞伣仉侀仰佖倗伽例
从,从炏丛认朲伙秋状队八
仏,仏仫伀仦佖払仈彸厸伾
仐,仐个氽仝仚兊企令尒汆
仑,仑仓谷念亽仒炛仚仺忩
仒,仒亽今令仺谷釡合仑念
仓,仓侖仑合念台仚佱金命
仔,仔伃仠佇忬仟伟侍仃偙
仕,仕仩佳仜価伫什仼佂住
他,他彵忚佌仳仙牠伳倘侕
仗,仗伩伎仅忟忮粀杖伖扙
付,付忖村行仃仗位籿竹佇
仙,仙伷伽侐佌伳伵偭仰価
仚,仚屳企个佱仐介命侖仓
仛,仛任仟伟饦侘秅佸仠枆
仜,仜仕仃仼仩住侐佂伾佳
仝,仝全釡企仺佱仐今谷奎
仞,仞仍伣例侞彻仂忉仰伆
仟,仟仠忏任仹仛伟忓佇併
仠,仠仟仔伟忓伃伄任侍仃
仡,仡忔扢矻佗忾杚伤佨籺
仢,仢彴伆佝侚礿汋幻伨扚
代,代伐伏杙伥仛佧笩牫俴
令,令今仒仐亽会釡仝泠谷
以,以乄似唙仪惔泤慡议笖
仦,仦仆仯仈孙仳伈什仏伱
仧,仧夫天失夭芖犬哭矢未
仨,仨僖儓僮偟僅傽儥僵儃
仩,仩仕什仜仆仙佳伴佌仼
仪,仪仅伩议汊汉似叹紁仗
仫,仫伭仏伀侅倓伆亿侈佖
们,们侕偭仰侐俪仙伂伽侀
仭,仭侞侧伣例仍仞仃忉俲
仮,仮伋佊汳伬佷炍粄彶饭
仯,仯仦粆砂抄杪仳紗钞伀
仰,仰伽们伣侧侀倻仍侐仙
仱,仱伶彾怜扲忴枔柃佮俆
仲,仲伸伷俥傰俌佴佄佛僩
仳,仳佌砒他仉化批秕仙枇
仴,仴佣倜佀傌傂侷僩傆偱
仵,仵忤件伡倂伟佈佇伤仠
件,件仹伡伸俥侔仵倖仲僀
价,价忦伱炌份祄佡扴砎吤
仸,仸伕倸佚伏佒饫倮佅佉
仹,仹佯件倖俥伴侓佳仟侼
仺,仺合台舍舎含仝奆佱全
任,任仟仼仛佸住偛仠往倥
仼,仼佳住俚彺俹倕伍佂任
份,份价帉伧枌汾昐岎吩妢
仾,仾佴俹佢但伍侢伹倕傴
仿,仿彷伉倞牥侻俯倇访防
伀,伀彸忪仏仫衳伱仯炂仈
企,企佱仝仚全仺金仐釡屳
伂,伂侕偂価俪俌俩伉什偭
伃,伃仔忬佇仠仟併偙抒儜
伄,伄儡俹僶儒伻仠仹俚俥
伅,伅俌仲俥伸忳住俹倕侢
伆,伆伤沕仢粅歾仞物怮仂
伇,伇役伎砓吺杸仗设炈倓
伈,伈化佖抋伦杺仦沁伱尣
伉,伉伔忼伂优伒砊仇侃钪
伊,伊倪僲佛倗傀倮俤侁仸
伋,伋彶忣仮伮仅砐佊岋伖
伌,伌伲倔倜佪侲佣侃侗傆
伍,伍儡偪俹仼倕傴佃佢僴
伎,伎仗伖忮伩佊侒伇枝传
伏,伏侎伕伙忕仸佅代忲伐
伐,伐代牫伏找伎戕钱仗仅
休,休体倈佅侎俕沐伏俅侏
伒,伒忻傂伉仉沂佤伔斫狮
伓,伓伾怀钚妚杯炋倈俅怌
伔,伔侃伉忨仉佩倪仇倔促
伕,伕佅佚仸侏侇侠俕俫佉
伖,伖伎侒佊伋传伩仗抜攸
众,众尒焱厼僉厽氽介淼余
优,优倇忧仂仇伪伉伏伔侊
伙,伙佒钬佚伏倈从侠仈俫
会,会侌余衾佘金令枀矣套
伛,伛怄讴呕愜沤惬抠伵伬
伜,伜忰伡倅仹倴傑倖侄枠
伝,伝傝佉傓偈倧侲傌儫偓
伞,伞傘企个牟仐仝桽余父
伟,伟仠佇偳侍佧仟俌僀偙
传,传侒佞侫倿伎伖俦侍倰
伡,伡件俥倖仹伜侔仵倅佈
伢,伢傀伣僲伤偒俒仔俤倪
伣,伣仍仞倪仰伿傀佒仉例
伤,伤侁伆俛仂倇饬仡仵俒
伥,伥怅代枨帐张儠伏胀伬
伦,伦伧佡抡倊沦论倫俭伈
伧,伧伦怆倫佡俭佮枪价倊
伨,伨侚佝儁偦佨侑仢伯徇
伩,伩忟仗仅伎仪佼位忮抆
伪,伪仂优倇俩忇伏俤仍忱
伫,伫仨仁僅佳偟仕儃住僼
伬,伬佷侲択仮仈伋呎伲粎
伭,伭侅怰仫铉袨傸侒佼亿
伮,伮怓俶伋傚傶依伙倣侞
伯,伯値倌伷佢儅佃傐僧佄
估,估佶佔俈借偣傮倩偛佄
伱,伱价俆佡倊徐鉩伦你仱
伲,伲伌怩侃促佣侲傂倔倨
伳,伳怈仙個伵佄僴世倘枻
伴,伴怑仹佯件倘什柈伻拌
伵,伵佪怬個佃仙徊牭伷伳
伶,伶彾怜仱拎呤冷阾侩泠
伷,伷佃値佄個伯仙僴偭仲
伸,伸仲傰俥佴俌佄伷件僩
伹,伹個佃佢但侣徂佰佀倨
伺,伺侗何僴個倜偏饲僩佝
伻,伻怦伄仹件伡仠俥伴侳
似,似泤仪姒偢伋俄愀拟以
伽,伽侀侐仰侧侞仙俰倁仍
伾,伾伓怌抷柸怀仜亿仏秠
伿,伿佒怾倮伣偄佷傆供抧
佀,佀侣侶偱個倡伹佃佢偘
佁,佁佮倽偗怡僋傖傟倫傗
佂,佂価俹佃征仼怔侕偭偛
佃,佃個僴伷伹佰傴僩偭値
佄,佄値佰伷僩僴佃個佶伯
佅,佅俕伕侏俫倲怽休伏保
但,但伹偮俋佢倡佴俚偟侱
佇,佇倧伟仔伃倞侍仟仠侼
佈,佈佑侑侟怖佐佦伡傕仵
佉,佉伕佚侇俵伝佅供怯仸
佊,佊怶彼狓伎仮伋伖俍柀
佋,佋俖怊侰僪侶偦佦侣佑
佌,佌仳仙砒他仉卩皉泚呲
位,位伩柆仗拉付仕泣忟砬
低,低彽砥忯怟柢袛牴抵伬
住,住佳仼隹倕任倥往伍仹
佐,佐佑佈佦侟傕侑俦倥伖
佑,佑佦侑佈傕侟佐催佔伯
佒,佒佚伿伙侠怏倮伕伣抰
体,体休倈泍砵钵依呠烋沐
佔,佔估佶俈偣佸値佄倩偝
何,何伺偂俪冋側佩砢働侢
佖,佖怭仍伣伈亿泌柲仞化
佗,佗砣岮仡偐伌化侂侘沱
佘,佘余会衾金杀汆僉氽厼
余,余佘会僉侌烡金汆衾氽
佚,佚伕佒怢侏侠伙柣仸佉
佛,佛俤俳侁傰彿併倂傔伊
作,作怍伡件拃侓筰宱莋倠
佝,佝侚佨徇怐恂仢伺倒侗
佞,佞侫侒侵倿倰僈传偠倭
佟,佟佫炵侈柊泈咚佲悠峂
你,你伱仵沵依佨伀佈仦佽
佡,佡倫价伦偷伧伱俗俭倽
佢,佢傴伹値佪偪佃個但伯
佣,佣倜倨僩個傌仴佃侷倔
佤,佤侦偭砙伒傴伔侗侕伉
佥,佥金厽念釡仓仚全佱仝
佦,佦佑侰佐佈侑偌佋催佰
佧,佧伟俵佅俕俧伕俫桛拤
佨,佨佝侚怉倠徇佪孢仡俋
佩,佩偑俪伔侃倔凧何侀侕
佪,佪個徊伵傴佃佢侗偭倜
佫,佫俻佲恪佭偹佟傛饹脩
佬,佬恅侤铑栳侾偖峔倦偐
佭,佭俻栙佫鞗洚偹傜鯈絛
佮,佮倽傖倫佁侉傄佾恰偗
佯,佯仹侓倖俥伴儻佳侼住
佰,佰僴佃値偭個佄僩伹偛
佱,佱企全金仺仝釡舍侖仚
佲,佲佫俻侈傜佟洺饹佭佋
佳,佳仼住徍仕仹傞佶偟侼
佴,佴伸侢但伹仲仾佃個佢
併,併倂俤侻侊恲佛侁仟侪
佶,佶估儅借俈傮信偣倌俉
佷,佷俍伬倀很侲恨偎仮伲
佸,佸偛偊估佰佶任偣侰俑
佹,佹恑伌傓桅伲儵硊诡峗
佺,佺侄恮傟佁侉倽俺倫佮
佻,佻恌挑姚铫狣桃侊恍晀
佼,佼恔饺烄铰挍校皎傸伩
佽,佽俽欦栨恢伙欻欨攽忺
佾,佾傖佮儈倫佁倽份傄俼
使,使便侇傁偼倢倲俒儴侠
侀,侀伽倗俐侧佣侜俰仰仍
侁,侁佛俒伤倂倪侊侏併侻
侂,侂傏倠僱傂倔傰倨倌俿
侃,侃伔倔倪促伲佩倨俔佣
侄,侄佺儜恎侉俓伡仼傗倥
侅,侅伭孩核烗垓硋佼该侈
來,來夾求来栾爽乑萊氺枩
侇,侇伕倲侠恞使佉偀佚俤
侈,侈恀拸栘俢袳佟傪修翛
侉,侉佮倽傄僑俺恗倫佺佁
侊,侊併恍侻侁佻倂佛俤侎
例,例仞侞倇伣栵仍侧挒侀
侌,侌会衾余套拿淾酓夽贪
侍,侍待恃伟佇仠俦仔传佶
侎,侎伏休咪佅伙佻侊洣侏
侏,侏佅俕佚伕俫侁倈怽休
侐,侐恤伽仙偭们仰伷桖価
侑,侑佑侟佈傕佦伯俌侚栯
侒,侒佞侫倿倰伎传伖偠俀
侓,侓倖佯俥律倬僤仹侼儻
侔,侔儜件伡佁倴俥仹伸倠
侕,侕価偭伂俩俪们僴僩佰
侖,侖命俞兪侴盒舍仓合畣
侗,侗倜個恫佪伺傴佣僩侷
侘,侘侼侓倖偟僡俥住佗伅
侙,侙倵恜傤栻偂轼儎俄獄
侚,侚佝佨徇恂怐伨仢倠伯
供,供倎偀倛僕偞僄俁佉傔
侜,侜侀倂倁佣倗傌們倜倪
依,依侬倈饻俠铱伙徠伮体
侞,侞伽例铷仞倁侧仭仰仍
侟,侟侑傕佑佈催拵佐栫洊
侠,侠俫伕佚快佒侇徕倲俠
価,価侕偭佂偛個佃佰僴伂
侢,侢佴俌佰僩偭俑佃僴傮
侣,侣侶倡佀伹偘偶傦偦侷
侤,侤侾佬偖傞倄傜偌俙倦
侥,侥饶傒俴硗佭桡侪烧铙
侦,侦佤偾倾仮攸优倎仂帧
侧,侧恻側伽侀惻测侞仰仉
侨,侨硚峤侪挢桥轿悿价伒
侩,侩俆徐倷伶烩浍傟倹悇
侪,侪併條侥侨挤倂僯佭俻
侫,侫倿佞侒侵僈传倰僂倀
侬,侬依俠倈攸傸浓伋饻佽
侭,侭烬浕侺伋赆傉伬煲傻
侮,侮悔儃鞗值儁偪侚倠傐
侯,侯候俣僕僺偀俟俁僳傼
侰,侰偌俉僊佦佶佸俈傞儒
侱,侱偟俚僅悜徎惶但儡俋
侲,侲傓傆傂伬帪伲佷振伌
侳,侳俓悭挫锉伻俚唑仩件
侴,侴俞兪命侖盒畣仓禽仚
侵,侵佞僈侫寑倿锓優儥傁
侶,侶侣佀倡偦偶傦偮偈個
侷,侷倨偓倜佣侣傌倔偱侗
侸,侸儃偪偃傐饾仾侵侮儚
侹,侹铤硟梃狿挺健挻鯅仕
侺,侺硶梣涔傛僇偻埁僁侭
侻,侻併倪俤悦侊俛傥倂俒
侼,侼倖俥傽倬偉侾傳僮儜
侽,侽俣俚偶偠偈偰傍俔儽
侾,侾侤侼傃偖倖傫佬儜傜
便,便使偠儾僈僂偄倢僲偅
俀,俀倿僾侒桵倭馁偠倸佞
俁,俁俣偀僺倶悞侯倮倛偞
係,係孫倷倸絛傃倧傒俅俆
促,促倔侃偍伲倪倨倗伔佣
俄,俄饿硪锇峨傤皒倵戗怴
俅,俅俵休傸倈伓捄傢佧佬
俆,俆侩徐倷悇馀伱儉倊捈
俇,俇诳佈佐徃佂偫僯征伣
俈,俈借佶估俉儅傮儶儁僀
俉,俉俈儒傮佶倩借信儥儃
俊,俊悛倰傻儍後馂捘梭稄
俋,俋偮但倡伹佢侣侱侶僮
俌,俌伸俑俥仲僀侢佶傰値
俍,俍佷悢偎倀佊伎偯儂伿
俎,俎爼炟姐畑婟煱涸烥泪
俏,俏倘悄偝惝徜偕傇帩傦
俐,俐俰侀悧仰伽侧娳们例
俑,俑俌僩佰侢偙僴偊偛偏
俒,俒侁倪倧佛侻债伉倇倞
俓,俓徑挳侳牼桱侄倅娙佟
俔,俔倪偍倱伹侃侷悓俱傊
俕,俕佅侏保伕倲俫怽倮休
俖,俖僪佋僑佫傗傛僠俻俉
俗,俗硲裕峪佡焀傛佮倊伦
俘,俘偁伻仹伴傒佯儜桴偅
俙,俙倄悕僪傜傗佁侔儯倽
俚,俚侱偟仼儡但悝俹佃僅
俛,俛悗伤俤侻侁梚併俒侊
俜,俜偔僼偟倳傳停偉倡傿
保,保倮僺俕佅俣惈俁伕侏
俞,俞兪侴命侖谕渝仚奟嵞
俟,俟侯倹侩俣偀俁僕候偩
俠,俠倈依悏侬傸浹唊侠徠
信,信倍倩倌僖佶傐偣僐儔
俢,俢修傪偧侈僇佭慘絛惨
俣,俣俁僺悮侯倶侽僕保傊
俤,俤併佛侻悌傍锑倂俛侇
俥,俥倬侼伸僔仲倖停侓仹
俦,俦偼倢侍伟传倧佅伖佦
俧,俧徳僫僡儢俵佧偲倧俦
俨,俨儣們儂儋儦僞倨傂倗
俩,俩倆侕僩価伂偭伪倗仍
俪,俪侕佩偭伂倆価何们衕
俫,俫侠徕佅伕俕倈倲倸侏
俬,俬倯硹僽偢俐俰碄愀佖
俭,俭检伧倫险捡崄佡硷猃
修,修俢幓絛傪翛侈鯈偧倏
俯,俯仿捬俪侜佩佈傂傶倆
俰,俰俐伽侀倁仰悧侞伂侧
俱,俱倶傊傎倛但償慏愪價
俲,俲傚肉勑例侞仭勺伆効
俳,俳悱佛徘仹傰倻件什仕
俴,俴傒碊錢帴侥牋徯慀綫
俵,俵偯傣伕儴佧佉傃俕俅
俶,俶倣伮傶做偢椒傲婌掓
俷,俷淝倗侀倪僶倻伣們儡
俸,俸儓傣偆僿侓傃僐儔倳
俹,俹倕仼佂伍伄仾儡俚僶
俺,俺倫侉倽佺偷倚佡傄伧
俻,俻偹佭佫脩偗鞗鯈傜佲
俼,俼倌傄偣倩信倄傗偝僋
俽,俽惞倣佽掀敒僘僛做锨
俾,俾傅僤伄傳俥佴佛碑僔
俿,俿傂猇侂仴侲傆裭傌淲
倀,倀偎俍佷悵偃侲掁侫儂
倁,倁侞伽侀俰侜例侧仞倂
倂,倂併侁佛侊俤侜侻仵恲
倃,倃偺僣僭儹偗糌揝佫佟
倄,倄俙俼佁偖僪偗傗傜倽
倅,倅悴伡椊伜捽俓伻倖儜
倆,倆俩俪侕儞伂偭価僴伌
倇,倇优仂伪例伤伉椀俒侁
倈,倈徠俠依休俫伙侏悏体
倉,倉畣貪盒會奝樖合台搻
倊,倊捴焧棇伱俆伧伦総俗
個,個佃僴伹佪侗佰偭僩倜
倌,倌傐値伯傏信儅佶偪傭
倍,倍信偣佶傭儁倌傐傗儅
倎,倎偀供倛俁偰傧僎傾傼
倏,倏條倐絛鯈翛儵修儝鞗
倐,倐條倏倓翛絛鯈儝儠侈
們,們僴僩倗傦佰侣偘佃仴
倒,倒佝働御侚俐倁椡伺何
倓,倓惔倐傸裧锬儝棪儏淡
倔,倔倨傴侃傏佣促侷個伌
倕,倕偅俹仼住伍儾俚佂僮
倖,倖侼侓仹俥偉佯倬伡儔
倗,倗偘侀佣傰僩侕倪儡俷
倘,倘俏惝徜悄僴伳帩伴佄
候,候侯俣偀俁倏俟倛倶僕
倚,倚徛偷僑傄俺侉倫偸俼
倛,倛倎倶供偀俱傧傼傎俁
倜,倜佣侗個倨僩侷佃伹偱
倝,倝畒臥飤軑軚魜閄钬軟
倞,倞倧倲徖惊偯佇侇俕侻
借,借俈佶傮估儅僼倩傦徣
倠,倠儁傕惟侂僬伷僱値倌
倡,倡侣侶偮偪佀傦儃倌僵
倢,倢偼徢俦住偉伍便僮使
倣,倣俽傲傶敒做儆俶僛惞
値,値伯伷倌佰佄佃佢僴個
倥,倥悾住椌任硿傞侄仼伟
倦,倦惓犈偆棬佬俸侤儯啳
倧,倧倞徖佇悰倷俕俒伝偯
倨,倨倔侷佣傏倜偱個僱伹
倩,倩信僖僐傮借佶俉估儥
倪,倪俔侻侃伣傀伔俒倗侁
倫,倫佮佡惀偷傖伧倽傟俺
倬,倬俥侼侓倖停倳偉傎傽
倭,倭偻佞俀倰诿傒涹偠矮
倮,倮保傈僺佒偞傀伿惈俕
倯,倯硹俬僽淞俽傱凇伀蜙
倰,倰俊倿侒傻佞偻侫稜祾
倱,倱惃僝俔儡僈俱侃儽倪
倲,倲佅侇俕徚伕倞俫悚侠
倳,倳傳僖僅儓儥僂偅停僵
倴,倴伡侉侔价倷伜锛俺倫
倵,倵侙碔俄傤傶恜儎伂偂
倶,倶俱倛傎傊俣慏俁傼偠
倷,倷俆侩倧係僚徐侉捺倴
倸,倸俫採仸棌侠埰係啋侎
倹,倹儉僋俟僚侩俆偩儈倫
债,债偾僙債僓傹愦償俒僨
倻,倻仰椰侀揶郁俳倗僶邭
值,值徝儃傮倩値伯僵傇償
倽,倽佮儈佁侉倫傖徻佡傄
倾,倾傾颁侦顾帧佩顿倎硕
倿,倿侫佞侒倰俀侵传偠儚
偀,偀倎俁供僕倛僷偞偰傼
偁,偁佸俘侢偛僞俏僠俑偤
偂,偂伂傰俌侕何働俑旬偭
偃,偃傴愝僱偪儃僝僵佢倡
偄,偄愞僳偰傈偀碝佒便伿
偅,偅倕僮僅倳僵儓儃僖儾
偆,偆俸倦倩傛儓儘信偖儯
假,假徦儼敒偎做俄椵儇倱
偈,偈倡侶愒侣偶佀偃侽伝
偉,偉傽儔僖僮倖僐儶侼倳
偊,偊偶佸傐俑傌偛僞僪僫
偋,偋倨倔僝僱侷倜傏傂侗
偌,偌傞侰佶俈儅借偖僊佦
偍,偍徥促俔倨惿侷偟侱偘
偎,偎倀俍愄儂佷假碨偲傁
偏,偏僱傐偪傏侷侗俑傭伺
偐,偐佗谚儦修佬楌偓傓俍
偑,偑佩碸個倔侗倜何伔伺
偒,偒傷愓揚傝儫惕偈禓碭
偓,偓侷倨僱傓偮傏佢僝伹
偔,偔俜偉儶傿侣侶倩偦倡
偕,偕偝借傮僧俈偗儹儅傦
偖,偖侤侾倄偗偣佫佶僪偌
偗,偗偺佁偝俻佮傄傗偹倽
偘,偘儡偳侣倗佀偶佣佃侶
偙,偙偳俑僀儡偘傭佰備僱
做,做敒僘倣僌幑儆傲儌俶
偛,偛佸価佰估僴偭佂佄俑
停,停傳倳儔惇俥僖儃倬偟
偝,偝偕俏偗俼倩借估傮佔
偞,偞傈偨僺僷偀惵僳倮供
偟,偟侱僅俚仨偪徨僵僖倡
偠,偠儚僂僄傁倳儾傼偰儴
偡,偡傌偶伷儅偊伹偘傐傯
偢,偢愀湫揪锹煍楸俶倣瞅
偣,偣倍佶信估倌儅借傮俼
偤,偤値偛傇傮偂価佄估侢
健,健徤键僆侹催倠促使僬
偦,偦侶侣儶倡倩傦俈俉偔
偧,偧傪惨俢慘僇侈修椮襂
偨,偨偞僺僸僷倮偀傈僕供
偩,偩僋償偵傊傹傎儥儈倹
